SimTicketID,SampledHistoricalTicket,ArrivalTime,CompletionTime,TotalSystemTime,Closed_Level,Level1_Minutes,Level2_Minutes,Level3_Minutes
121,TKT0088,3791.09638005607,4008.09638005607,217.0,2,115,102,0
125,TKT0337,4001.420568658897,4102.4205686588975,101.00000000000045,1,101,0,0
124,TKT0014,3956.5010708957634,4143.501070895763,187.0,3,119,31,37
126,TKT0080,4079.5154994464842,4183.515499446485,104.00000000000045,1,104,0,0
127,TKT0109,4112.9386477977105,4212.9386477977105,100.0,1,100,0,0
129,TKT0185,4164.831514749435,4219.515499446485,54.68398469704971,1,36,0,0
128,TKT0238,4146.513284047441,4306.513284047441,160.0,2,92,68,0
132,TKT0432,4293.08689318833,4363.513284047441,70.42639085911105,2,11,57,0
134,TKT0300,4342.141042064305,4405.141042064305,63.0,1,63,0,0
130,TKT0391,4173.594718273486,4445.9386477977105,272.3439295242242,3,23,92,118
136,TKT0419,4362.484357423154,4487.8279852557325,125.34362783257893,1,109,0,0
133,TKT0063,4307.298284413977,4491.298284413977,184.0,2,70,114,0
131,TKT0318,4284.8279852557325,4497.8279852557325,213.0,2,94,119,0
141,TKT0314,4493.746478621585,4537.746478621585,44.0,1,44,0,0
137,TKT0500,4367.304419848706,4676.8279852557325,309.5235654070266,3,20,104,75
143,TKT0181,4573.544539871665,4683.544539871665,110.0,1,110,0,0
147,TKT0362,4640.784473868782,4754.28188434685,113.49741047806856,1,107,0,0
135,TKT0370,4348.467604924977,4756.8279852557325,408.3603803307551,3,16,119,80
145,TKT0011,4592.28188434685,4762.8279852557325,170.54610090888218,2,42,46,0
139,TKT0155,4392.611005013736,4762.8279852557325,370.2169802419967,3,58,25,6
142,TKT0420,4518.183898525976,4784.298284413977,266.1143858880014,2,68,114,0
140,TKT0039,4484.451177617154,4785.8279852557325,301.3768076385786,3,25,35,23
149,TKT0443,4711.164497025219,4801.164497025219,90.0,1,90,0,0
146,TKT0448,4613.0699358698985,4865.8279852557325,252.75804938583406,2,13,103,0
144,TKT0003,4584.19314753068,4879.298284413977,295.10513688329684,2,71,95,0
138,TKT0089,4370.715242127003,4882.8279852557325,512.1127431287296,3,51,115,97
154,TKT0430,4846.955310571604,4883.955310571604,37.0,1,37,0,0
148,TKT0307,4677.714951852591,4920.8279852557325,243.11303340314134,2,31,55,0
150,TKT0354,4712.266475375474,4921.298284413977,209.03180903850262,2,32,42,0
152,TKT0067,4774.461771279819,4987.298284413977,212.83651313415794,3,74,61,5
158,TKT0418,4967.089921951999,5000.089921951999,33.0,1,33,0,0
151,TKT0050,4760.424550699836,5011.8279852557325,251.40343455589664,2,74,91,0
155,TKT0214,4857.385008605597,5034.8279852557325,177.44297665013528,2,40,23,0
